"row"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"16910"	"STC2"	3473.5163709902	4.01377510252773	0.0999497414379099	40.157933825383	0	0
"1709"	"LAMC2"	5760.38643064163	3.70321602358289	0.109863520447108	33.7074217948963	4.50036508239123e-249	3.42095251737969e-245
"6229"	"GPX2"	8871.14801111459	-2.78167182702727	0.0845205638453895	-32.911183982583	1.52063264984914e-237	7.7060593918855e-234
"6925"	"C15orf48"	2601.93419928739	2.74974287272189	0.0884660706539813	31.0824574030986	4.15782982225507e-212	1.58028716969359e-208
"9493"	"FASN"	6880.82213168376	-2.25992112250717	0.0735735165323391	-30.7165027447591	3.42703452833445e-207	1.04202411868537e-203
"4826"	"KRT8"	41323.3805691131	-2.23418244993802	0.0756493477970085	-29.5334000226023	1.0729779406676e-191	2.71874727199492e-188
"10115"	"ICAM1"	2072.02297055571	2.7840505757881	0.0974508841429993	28.5687564589233	1.64293175403848e-179	3.56821306523529e-176
"13849"	"MCM5"	2365.23133805514	-2.39220169374323	0.0839858233413915	-28.483398728131	1.88099975925726e-178	3.57460491749852e-175
"5214"	"ALDH1L2"	971.341442162544	3.1753662781232	0.112219358697458	28.2960650905513	3.86347630532282e-176	6.52627002998032e-173
"18663"	"PEG10"	3111.46586768669	-2.33918255717488	0.0836727980324524	-27.9563085277444	5.52527532307353e-172	8.40007607366869e-169
"6780"	"GREM1"	892.72480680837	3.17581740898713	0.114380951163338	27.7652649036989	1.14001681584991e-169	1.57560687739693e-166
"9415"	"TK1"	2694.34107019615	-2.23247891857235	0.0808304095578019	-27.6192949013317	6.52706632169258e-168	8.26924910739103e-165
"3641"	"FADS2"	15605.9680529583	-1.99282304195154	0.0743830638043646	-26.7913546448271	4.07489047414576e-158	4.76542768295677e-155
"18677"	"ASNS"	4404.96680516351	3.15143020233052	0.120398700033591	26.1749520671841	5.12557447389575e-151	5.56600776618836e-148
"15638"	"EREG"	2096.01463898704	2.98844044939205	0.114696515640846	26.0551982132558	1.17471503918951e-149	1.19061284938654e-146
"16943"	"FGFR4"	1323.4661728857	-2.65919455707902	0.103084601061078	-25.7962346432658	9.77307100867926e-147	9.28624990905943e-144
"18764"	"SERPINE1"	59945.0161829067	2.74909264393625	0.107355545389135	25.6073650780826	1.26299979168036e-144	1.12949328428921e-141
"19889"	"RECQL4"	1155.21897171677	-2.42675258232349	0.0975561866040732	-24.8754350369633	1.37253143426025e-136	1.15925529972547e-133
"8907"	"EIF1"	16658.8365117041	1.80960681322558	0.0730664020025319	24.7666063146625	2.05378020277933e-135	1.64334844330811e-132
"18949"	"PODXL"	3591.47442943364	1.96717589414148	0.0794917581139816	24.7469164202003	3.34655973913068e-135	2.54388738570019e-132
"14349"	"CDCP1"	1709.43470202488	2.70969576044506	0.109659451896313	24.7100976120798	8.33023045137806e-135	6.03069016915717e-132
"19930"	"INSL4"	562.874185193285	-3.22323525632724	0.131367502456236	-24.5360168691723	6.09926185289486e-133	4.21486717952548e-130
"1642"	"GAS5"	6473.95839301139	2.68927882424911	0.111012793374728	24.224945094133	1.21485353898251e-129	8.03018189267439e-127
"15471"	"TMEM156"	1207.52219772899	2.3905428651686	0.099024225626164	24.1409902481174	9.28463362713602e-129	5.88142854305621e-126
"11772"	"MTHFD2"	6283.26245350391	2.16868745785598	0.0913044308557805	23.7522696054205	1.04097904356696e-124	6.33040175973939e-122
"4799"	"NR4A1"	814.788161613557	-2.60698172645567	0.109789545219854	-23.7452639159328	1.22977607359481e-124	7.19087909494691e-122
"4233"	"H2AFX"	1621.70862941604	-2.48960730581803	0.105495736525907	-23.5991272046017	3.93446669327585e-123	2.21539619029158e-120
"1720"	"FAM129A"	698.353323491772	3.61854855966631	0.155928878786156	23.2064040210848	3.92342227736809e-119	2.13027817438668e-116
"751"	"DHCR24"	2280.85792146686	-2.08789145621549	0.090302595528343	-23.1210569751583	2.84341583747898e-118	1.49063624059286e-115
"11392"	"RRM2"	2337.30350921277	-1.97613748096719	0.0862367811640532	-22.9152509438852	3.274019614948e-116	1.65916400686848e-113
"17549"	"CCND3"	2905.15102650561	-2.11262257164357	0.0928685840567283	-22.7485170911305	1.48434148175793e-114	7.27949791844057e-112
"18079"	"SOD2"	5439.98533903639	1.91731034779067	0.0860327741994774	22.2858133499816	5.0727182298728e-110	2.41001672652363e-107
"3638"	"FEN1"	2043.79099826283	-2.13771646357828	0.0967883075608428	-22.0865155869625	4.26015896988587e-108	1.96264232785378e-105
"20887"	"SAT1"	14207.7390955304	1.97439279442562	0.0901565912062254	21.8995945610828	2.62102395967554e-106	1.17198315467492e-103
"19458"	"MCM4"	4090.46462450934	-1.86351822927678	0.0856150788272619	-21.7662385505319	4.84822813138401e-105	2.10593177946946e-102
"8730"	"SLFN5"	1533.34894063854	2.54027314549921	0.11698296059424	21.7148987561552	1.48369577860947e-104	6.26572970061105e-102
"4462"	"C1S"	4339.94117387603	1.58252255180281	0.0738856032955882	21.4185508572183	8.97373744063433e-102	3.68723595432334e-99
"15029"	"TIPARP"	2018.98915283914	2.42319525072553	0.115916621951949	20.9046399896817	4.85849933797602e-97	1.94378330092762e-94
"3898"	"DHCR7"	3114.63429717754	-1.71719721605955	0.0822129235673253	-20.8871931753323	7.00152475146634e-97	2.72933796914212e-94
"20742"	"TUBB4B"	9215.92833040448	-1.71314800543112	0.0830436425225706	-20.6294901498992	1.49214956641024e-94	5.67128746453372e-92
