"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"AgingCluster"	"nlp"	"genes"
"ATP6V0C"	10330.4959344676	7.18341509235557	0.31530479347379	22.782448097963	6.84566642259218e-115	1.44662622842218e-110	"0"	109.839643665082	"ATP6V0C"
"CCL7"	11630.9515572908	10.5620668703757	0.527698828049467	20.0153313006517	4.04936086925662e-89	4.27855469445654e-85	"0"	84.3687029118811	"CCL7"
"CPE"	732.668197560482	-6.69480359925189	0.351399001432937	-19.0518572106118	6.34120430258328e-81	4.46674431073966e-77	"1"	76.3500089070789	"CPE"
"CCL8"	38302.9574933562	11.5786326057218	0.627371059237017	18.4557965102874	4.68408313290002e-76	2.47460111911108e-72	"0"	71.6064947950051	"CCL8"
"CCL2"	95311.6529129897	8.96910471795329	0.48701245315483	18.4165818755806	9.6721761945135e-76	4.08784854684918e-72	"0"	71.3885052030118	"CCL2"
"IFITM1"	32368.6354373266	8.91095657185977	0.498243296805292	17.884749537016	1.55048319418121e-71	5.46080180990621e-68	"0"	67.2627435851246	"IFITM1"
"SELL"	1253.87948831173	4.96512080004238	0.295319000794137	16.8127373676965	1.96866740779382e-63	5.94312566592843e-60	"0"	59.2259850865948	"SELL"
"ISG20"	13884.5395222468	6.58407381209122	0.401167353297876	16.4122871862965	1.56208269588285e-60	4.12624144117455e-57	"0"	56.3844453634928	"ISG20"
"TMBIM4"	4024.12692088593	-3.26748539013219	0.208397731500633	-15.6790832923355	2.10266909949738e-55	4.93706704561986e-52	"0"	51.3065309749994	"TMBIM4"
"DUSP5"	1392.63113452612	4.88546708231812	0.312017221905067	15.6576840614412	2.94424892311177e-55	6.22178682431979e-52	"0"	51.2060848731064	"DUSP5"
"AL035446.1"	574.847323113721	-6.21970251471356	0.407892934863982	-15.2483703028287	1.68793663568449e-52	3.24267972593496e-49	"0"	48.4890959437501	"AL035446.1"
"GET4"	342.004729163378	4.92220910664039	0.330041417678678	14.9139133544522	2.67598225457052e-50	4.71240475029869e-47	"0"	46.326757414895	"GET4"
"HIST1H2BK"	454.784596260987	6.06547130506188	0.409154232383433	14.824412959702	1.01866540557154e-49	1.65587979619522e-46	"0"	45.7809711927588	"HIST1H2BK"
"CAMP"	558.281257364186	-7.62432448905228	0.519256495632489	-14.6831566926579	8.26513618870872e-49	1.24756327099852e-45	"0"	44.9039374196134	"CAMP"
"SPHK1"	1441.11624277517	6.43551689024918	0.448920109217697	14.3355504868426	1.31202057828926e-46	1.84837459069391e-43	"0"	42.7332100102882	"SPHK1"
"AC005921.2"	104.321564000115	-6.69871929176213	0.474623936309755	-14.1137409626773	3.12548149939563e-45	4.12797969032678e-42	"0"	41.3842624481058	"AC005921.2"
"AL138963.3"	1268.7887964036	9.06370207731379	0.65321470274633	13.8755328672288	8.91282537519922e-44	1.10791662252182e-40	"0"	39.9554929216845	"AL138963.3"
"NDUFB8"	1982.27057899769	-3.74800350930313	0.270974490348283	-13.8315732395541	1.64385511833036e-43	1.92988590891984e-40	"0"	39.7144683648736	"NDUFB8"
"PARL"	459.423898994188	-2.94367914180891	0.214742117757703	-13.7079729516792	9.09637575750858e-43	1.01170848688248e-39	"0"	38.9949446068403	"PARL"
"AL133415.1"	862.914551749321	9.45094433899304	0.693239528157743	13.6330142109879	2.54833460369219e-42	2.69257034226116e-39	"0"	38.5698329421222	"AL133415.1"
"MTRNR2L12"	21232.202305733	9.77591536767608	0.718994034015577	13.5966571420317	4.19158064991156e-42	4.21792772828243e-39	"2"	38.374900865914	"MTRNR2L12"
"HPGDS"	561.438712615052	-5.80215612248062	0.427318425689207	-13.5780621046764	5.40373013374389e-42	5.190528417558e-39	"0"	38.2847884269015	"HPGDS"
"ECE1"	460.364558180377	4.49706293990664	0.335895851206206	13.3882658084571	7.08149440260608e-41	6.50635390069007e-38	"0"	37.1866623177931	"ECE1"
"JAML"	2995.78581950085	-4.71899797249887	0.353035023157021	-13.366940000171	9.43428090043397e-41	8.30688433283211e-38	"0"	37.0805618367194	"JAML"
"ABHD14A"	242.944838408639	-4.02906126152924	0.301681221352592	-13.355359818105	1.10224242422784e-40	9.31703476351307e-38	"0"	37.0307222840781	"ABHD14A"
"DBNDD2"	629.413625160403	6.38224792005256	0.479242305136812	13.3173717170703	1.83452790928655e-40	1.49104783765552e-37	"0"	36.8265084227465	"DBNDD2"
"ZGPAT"	307.564823772334	7.19593346458986	0.555907503281117	12.944479831838	2.52467462727123e-38	1.97597867494428e-35	"0"	34.7042177466937	"ZGPAT"
"FOSL1"	431.756148408896	5.5755767484894	0.433070917479198	12.8745120566938	6.26336519090971e-38	4.72705118622515e-35	"0"	34.3254096949734	"FOSL1"
"ZBP1"	1539.66361294461	3.58143912680691	0.278803918320498	12.8457273785151	9.08935569596555e-38	6.62331946783255e-35	"0"	34.1789242967769	"ZBP1"
"HMGN4"	637.285522472753	3.62817427431818	0.284107489024994	12.7704281459437	2.39831602017463e-37	1.68937380461101e-34	"0"	33.7722742442608	"HMGN4"
"MRPS24"	751.720258995594	4.55880341526886	0.36055303713084	12.643919051539	1.20875500025076e-36	8.23980989203199e-34	"0"	33.0840828081808	"MRPS24"
"GPD1"	1003.43021240368	-7.58266559392635	0.600890194835735	-12.6190536292562	1.6580177098601e-36	1.09491344514887e-33	"0"	32.9606202112165	"GPD1"
"ADM"	1433.81408918338	7.38893560383419	0.586649034529177	12.5951551420591	2.24518059617749e-36	1.4377320108613e-33	"0"	32.84232205766	"ADM"
"PHKG1"	296.001435287209	-6.08918603846504	0.484422349983369	-12.5699940117835	3.08747295550922e-36	1.91895524987708e-33	"0"	32.7169351529133	"PHKG1"
"EDC4"	167.433415011354	5.62508828889623	0.448631600054415	12.5383238456987	4.60635505430019e-36	2.78118557164205e-33	"0"	32.5557700323328	"EDC4"
"ZNF589"	240.352063045569	-3.60235012053796	0.287556164545809	-12.5274661603163	5.28234830768241e-36	3.10073845660958e-33	"0"	32.5085348644114	"ZNF589"
"CD300E"	1675.95338213377	6.55893153369602	0.523675867158273	12.5247924241536	5.46340998229486e-36	3.12034539853662e-33	"0"	32.50579733022	"CD300E"
"AC116366.3"	1027.2574632228	5.03157684683195	0.407700204950956	12.3413645265084	5.4228958772537e-35	3.01570093889803e-32	"0"	31.5206117287924	"AC116366.3"
"MTRNR2L8"	1628.07060030163	9.96139333829128	0.809465043516268	12.3061439380008	8.39386713116265e-35	4.54818462091613e-32	"0"	31.3421619146488	"MTRNR2L8"
"RSAD2"	17835.3414230475	6.90819547286402	0.564934833228383	12.2283050478342	2.19470362979529e-34	1.15946192762085e-31	"0"	30.9357435073931	"RSAD2"
"CD38"	2019.30954364935	5.55491439444113	0.454618753485836	12.2188412859088	2.46574056077437e-34	1.27087876903132e-31	"0"	30.8958958754506	"CD38"
"CHST15"	343.956682486154	5.38254856202321	0.442712793169	12.1581048595731	5.19498984186711e-34	2.61382203186514e-31	"0"	30.5827239856958	"CHST15"
"MME"	1098.68384901008	-4.67181150809192	0.387356550093165	-12.0607525727093	1.7022033254796e-33	8.36533969163602e-31	"0"	30.0775164189326	"MME"
