"Partner"	"Pair"	"theta"	"theta_e"	"theta_f"	"theta_g"	"lrv"	"lrv1"	"lrv2"	"lrv3"	"lrv4"	"lrv5"	"lrv6"	"lrm"	"lrm1"	"lrm2"	"lrm3"	"lrm4"	"lrm5"	"lrm6"	"p"	"p1"	"p2"	"p3"	"p4"	"p5"	"p6"	"Zeros"	"theta_mod"	"Fstat"	"Pval"	"FDR"
"Proliferating Basal"	"Differentiating Basal"	0.994654102269111	0.484747817567183	0.515252182432817	0.000795547268224685	468.208380343985	890.066680030186	462.333754849662	10.3876102873614	24.0717284896009	11.9605373972706	13.4913681457812	NA	-1.68799582695487	-0.277581093363544	2.82572885227182	5.32510743802424	2.3592447161276	2.37483060653791	6852600194895.93	1706472307000.44	3575681394357.58	362294155193.984	106035988547.274	863624804079.997	193843763392.783	884	0.994640488943992	3.11169382049404	0.00881533146814093	0.0111351555387043
"Plasma"	"Alveolar Epithelial Type 1"	0.994701723717327	0.6039367330979	0.3960632669021	0.0398240520657909	4.24179523757142	4.7566918461131	3.85790818872667	4.09796770967268	3.22424178259029	5.13430640666518	4.59622974665429	NA	-0.501605848591536	-0.356843330942667	-0.59333504082438	-0.977026918207157	-0.276176595811754	-0.487401129888657	2093895439.40204	624966479.562709	911837331.266703	86314072.1183384	134969312.480359	182425840.179849	134619743.565145	126	0.994689579536561	3.08304000946152	0.00934077488730339	0.0117707139391317
"Adventitial Fibroblast"	"Myofibroblast"	0.99471717134602	0.653522065584297	0.346477934415703	0.00666945869727123	174.590607759219	343.646688737976	824.490486974195	375.231165406459	99.3678068981336	132.856779460293	1878.64497415612	NA	-0.88754862465599	-5.66866185450003	-0.834764126285034	0.21722196287669	0.845001007803332	-10.3102942023466	12933651449.1253	2182987822.49067	157329542.822882	421587611.827015	4132513976.16394	5888896082.27493	8016557.31759508	682	0.994703738449032	3.07477608385449	0.00949790923287071	0.0119402287498946
"Plasma"	"Differentiating Basal"	0.994771235562835	0.459986418982056	0.540013581017944	0.000414109400133946	574.820258341319	1295.98218090866	662.4852469925	3.75850535998109	2.67722041138928	4.49564885614997	4.29877646385802	NA	-2.30656792211826	-0.451297412019355	2.32074017048747	2.05978444828425	2.31378410366012	1.61851732744554	43802138275193.8	10491389947485.2	17193654252171.1	2774133088230.73	4498020254326.75	5327273185346.89	3044982786565.2	686	0.994757916686927	3.04315683548939	0.0101232791135407	0.0126961790307588
"TREM2+ Dendritic"	"Mucous"	0.994791095499455	0.674321256020267	0.325678743979733	0.0311729250798328	82.4225852303326	132.623098498807	53.8277765084147	58.3505684741627	31.5878590549216	163.08643504365	56.208497922043	NA	-0.770477874805153	0.237678932845252	0.954954584335052	1.26193123610496	-0.675770270817154	0.78034319155948	2445366894644.88	494949061376.066	1135037406643.06	154329471949.575	208114334555.336	318256150115.983	111780445675.512	772	0.99477788594082	3.03150334213919	0.0103637386209426	0.0129669525873405
"Natural Killer"	"Myeloid Dendritic Type 2"	0.99482526216884	0.257763083348903	0.742236916651097	0	3388.28835015968	80.3740065174979	7995.18622122631	0	0	9392.8773495501	0	NA	0.888117488980588	-4.30685103109108	0.000108668358675291	0.00010701851789312	11.3172652521027	0.000104524768616179	1992349789771758	801556068450879	626700322670250	157556632992434	129277237327125	174676256371886	84838186995925.8	1148	0.994812072046775	3.01155438093945	0.0107883444835106	0.0134601710203655
"Bronchial Vessel 2"	"Alveolar Fibroblast"	0.994826614176688	0.602682552295115	0.397317447704885	0.0260355760789206	20.8947763921131	19.1705208008265	24.4734664082819	20.5615907731832	30.5709978017442	18.8710785008455	21.3545147769115	NA	-1.19025351477122	-0.742245233388531	-0.626446836854899	0.110157524307796	-1.00881337585326	0.0512753440502466	7866834.03610499	3406759.23227911	1848835.05886766	528208.03083324	295506.762555579	1525840.53709344	200408.06731013	436	0.994813695626135	3.01060699149936	0.0108089252133238	0.0134601710203655
"Lymphatic"	"Vein"	0.994837640132784	0.569278734702341	0.430721265297659	0.00172830856333516	57.0650736729435	67.731410609201	150.799807381317	33.1895040428301	41.5930687680246	100.715246562326	86.6984633879241	NA	-0.149007513130108	-1.88714078002748	0.55912201280257	0.326520604876571	-0.27786713645261	-2.77823880651407	32557304598.4884	11814763114.141	1374776145.13384	11573552958.0237	4881540371.29935	2485995397.65345	37036394.9332431	566	0.994824578321432	3.00425681161505	0.0109478644787608	0.0136011116347899
"Plasma"	"Capillary Aerocyte"	0.994884435591294	0.618791482333264	0.381208517666736	0.0403590462362204	5.17487927650471	6.0669545653478	5.0051772625746	4.255250146008	3.43989280054628	5.40276975161307	4.810962970036	NA	-0.335114238553848	-0.477813668144591	-0.0829469656817616	-0.239553211362421	0.0319877151456503	-0.514217087539665	2654315699.76703	823848670.5137	1046154750.36745	130277254.548349	222424140.421248	261080186.990963	145713252.278803	148	0.994872470939392	2.97631256034329	0.011580213739159	0.0143529409724787
"Vascular Smooth Muscle"	"Vein"	0.994997722993817	0.597189601999832	0.402810398000168	0.0102881778932485	61.9654950490825	73.5054961629194	158.575428328415	35.5335213012671	55.6026529257083	98.3142386237148	96.8786286322418	NA	0.239224484888551	-1.25052571919425	0.824563839037186	0.135333104560695	0.0486099778391821	-2.75934668370918	1211791545.14474	411489446.23106	64626991.4761233	447605056.948644	199351501.902519	65673793.8502889	7974222.0387825	567	0.994985056612733	2.9106319805303	0.0132096282806929	0.0163341539395921
