genes	cluster
NR2F2	1
NR2F2.AS1	1
NSD3	1
NTF3	1
NTRK2	1
NTRK3	1
NUGGC	1
NUMBL	1
ODF2L	1
OGFR	1
OGFR.AS1	1
OPTN	1
OSBPL8	1
OSMR.AS1	1
OTUD5	1
OVGP1	1
P2RY10	1
PACERR	1
PACS1	1
PAG1	1
PALLD	1
PALM	1
PARD3B	1
PBX4	1
PCAT19	1
PCDHA2	1
PCDHA3	1
PCDHA5	1
PCDHB10	1
PCDHB12	1
PCDHB13	1
PCDHB14	1
PCDHB16	1
PCDHB17P	1
PCDHB18P	1
PCDHB2	1
PCDHB4	1
PCDHB6	1
PCDHB7	1
PCDHB9	1
PCDHGA1	1
PCDHGA12	1
PCDHGA5	1
PCDHGA6	1
PCDHGA7	1
PCDHGB1	1
PCDHGB2	1
PCNP	1
PCNX1	1
PDCD1LG2	1
PDE1A	1
PDE7A	1
PDGFD	1
PDGFRB	1
PDIA2	1
PDLIM1	1
PDLIM3	1
PDZD4	1
PGR	1
PGR.AS1	1
PHC3	1
PHF1	1
PHF10	1
PHF12	1
PHF20	1
PHF21A	1
PHF21B	1
PHF8	1
PHLDB3	1
PHLPP2	1
PIK3IP1.AS1	1
PIP4K2A	1
PITPNC1	1
PIWIL2	1
PKD2	1
PKIG	1
PKMP3	1
PKNOX2	1
PKP4.AS1	1
PLA2R1	1
PLCB1	1
PLCB4	1
PLCE1	1
PLCG1	1
PLEKHA2	1
PLEKHA8	1
PLSCR4	1
PLXDC2	1
PML	1
PNISR	1
PNRC1	1
PNRC2	1
POC1B	1
POLR2F	1
POU3F4	1
POU6F1	1
PPFIA2	1
PPFIBP1	1
PPM1B	1
PPM1J	1
PPP1R12A	1
PPP1R12B	1
PPP1R14A	1
PPP1R14BP3	1
PPP1R3F	1
PPP2R2D	1
PPP2R5B	1
PPP3CC	1
PRDM8	1
PRELP	1
PRKAA2	1
PRKD2	1
PRKD3	1
PRKG1	1
PRKX	1
PROB1	1
PROX1	1
PRR16	1
PRRG1	1
PRRT1	1
PRSS42	1
PRSS53	1
PSMD6.AS1	1
PTCHD4	1
PTGDS	1
PTGES3P2	1
PTGIR	1
PTGIS	1
PTK2	1
PTN	1
PTOV1	1
PTPRZ1	1
PVRIG	1
PYHIN1	1
RAB11FIP3	1
RAB28P5	1
RAB39B	1
RAB6C.AS1	1
RAB8B	1
RAMP1	1
RANP4	1
RARA.AS1	1
RARB	1
RARRES2	1
RASA2	1
RASA3	1
RASD2	1
RASGRF2	1
RASGRF2.AS1	1
RASGRP1	1
RBM20	1
RBM33	1
RBMS3	1
RBPMS2	1
RCAN2	1
RECK	1
RELA	1
RET	1
RFTN2	1
RGS11	1
RGS5	1
RHBDF1	1
RHOC	1
RHOQ	1
RIMS3	1
RN7SL608P	1
RNF152	1
RNF19A	1
RNF217	1
ROBO2	1
ROBO3	1
RP1.187B23.1	1
RP1.197B17.3	1
RP1.244F24.1	1
RP1.59D14.5	1
RP1.79C4.4	1
RP11.106D4.2	1
RP11.1090M7.1	1
RP11.1094M14.5	1
RP11.1094M14.8	1
RP11.1114A5.4	1
RP11.1148L6.5	1
RP11.1148L6.8	1
RP11.120K18.3	1
RP11.1334A24.5	1
RP11.134L10.1	1
RP11.138H8.8	1
RP11.1399P15.1	1
RP11.146D12.2	1
RP11.147L13.14	1
RP11.147L13.15	1
RP11.158K1.3	1
RP11.158M2.2	1
RP11.158M2.4	1
RP11.158M2.5	1
RP11.17A4.3	1
RP11.180C16.1	1
RP11.180M15.7	1
RP11.196H14.2	1
RP11.203B9.4	1
RP11.208N14.5	1
RP11.20I20.4	1
RP11.213G2.3	1
RP11.244F12.3	1
RP11.244H3.1	1
RP11.247A12.7	1
RP11.274B21.3	1
RP11.274H2.5	1
RP11.297C4.6	1
RP11.2B6.3	1
RP11.302B13.1	1
RP11.395I14.2	1
RP11.517I3.2	1
RP11.54O7.16	1
RP11.557H15.3	1
RP11.575L7.8	1
RP11.598F7.4	1
RP11.59C5.3	1
RP11.617B3.2	1
RP11.61L23.2	1
RP11.632F7.3	1
RP11.640N20.4	1
RP11.64C12.3	1
RP11.64C12.4	1
RP11.64C12.5	1
RP11.661O13.1	1
RP11.665G4.1	1
RP11.693J15.6	1
RP11.727F15.13	1
RP11.731K22.1	1
RP11.736K20.5	1
RP11.736N17.10	1
RP11.73M18.6	1
RP11.73M18.8	1
RP11.73M7.6	1
RP11.798M19.6	1
RP11.817I4.2	1
RP11.888D10.4	1
RP11.88H12.2	1
RP11.894P9.1	1
RP11.97N19.2	1
RP13.204A15.5	1
RP13.228J13.6	1
RP13.516M14.10	1
RP13.554M15.2	1
RP13.554M15.7	1
RP3.325F22.3	1
RP3.393E18.2	1
RP4.598P13.1	1
RP4.621F18.2	1
RP4.639F20.1	1
RP4.724E16.2	1
RP4.758J24.6	1
RP5.1056L3.3	1
RP5.1057I20.4	1
RP5.1085F17.3	1
RP5.1102E8.3	1
RP5.1126H10.2	1
RP5.1198O20.4	1
RP5.855D21.3	1
RUNX2	1
SMOC2	1
TCF4	1
TENM1	1
TEX26.AS1	1
TEX41	1
TMEM130	1
UNC45B	1
WDR86	1
AACS	2
AADAT	2
AAR2	2
AARD	2
AARS	2
ABCA3	2
ABCC13	2
ABCC6	2
ABCD3	2
ABHD11	2
ABRACL	2
ABT1	2
AC007405.4	2
AC007405.6	2
AC009133.12	2
AC009237.8	2
AC009403.2	2
AC010127.3	2
AC011899.9	2
AC017060.1	2
AC090616.2	2
AC093627.10	2
AC093627.9	2
AC104667.3	2
ACAA2	2
ACACA	2
ACADL	2
ACADSB	2
ACAT1	2
ACOT13	2
ACOXL	2
ACOXL.AS1	2
ACPP	2
ACSM3	2
ACSS2	2
ACTL6A	2
ACTR10	2
ACTR3C	2
ACY1	2
ADCY8	2
ADGRF1	2
ADK	2
ADM2	2
ADORA2B	2
ADSL	2
AF186192.6	2
AFG3L2	2
AGA	2
AGPAT2	2
AGPS	2
AGR2	2
AHCY	2
AHCYL2	2
AIFM1	2
AIMP2	2
AKAP1	2
AKR1A1	2
ALDH5A1	2
ALG1	2
ALG5	2
ALKBH2	2
ALPP	2
ANK3	2
ANKEF1	2
ANKRD2	2
ANKRD34B	2
ANLN	2
ANXA4	2
AP1M2	2
AP1S1	2
AP3M1	2
AP5S1	2
APEH	2
APEX1	2
APEX2	2
APOBR	2
APRT	2
AQP3	2
ARFGAP2	2
ARG2	2
ARHGEF18	2
ARMC6	2
ARMC9	2
ARMT1	2
ARPC1B	2
ARV1	2
ASF1B	2
ASH2L	2
ASL	2
ASNA1	2
ATAD3C	2
ATIC	2
ATMIN	2
ATP1B1	2
ATP2C2	2
ATP5A1	2
ATP5C1	2
ATP5F1	2
ATP5G3	2
ATP6V0D1	2
ATP6V0E2	2
ATP6V1A	2
ATP6V1D	2
ATP8A1	2
ATPAF1	2
AUNIP	2
AURKA	2
AURKB	2
B3GALT6	2
B3GNT6	2
B3GNT8	2
BCAT2	2
BCKDHA	2
BCL2L12	2
BDH1	2
BEND3	2
BEX2	2
BIRC5	2
BLNK	2
BLVRB	2
BMP3	2
BNIP1	2
BOLA3	2
BPNT1	2
BRCC3	2
BRI3	2
BRI3BP	2
BSPRY	2
BUB1	2
BUB1B	2
C10orf35	2
C11orf1	2
C11orf45	2
C14orf1	2
C14orf119	2
C15orf56	2
C16orf59	2
C18orf21	2
C19orf48	2
C19orf54	2
C1orf127	2
C1orf210	2
C1orf53	2
C1QBP	2
C2.AS1	2
C22orf29	2
C2orf15	2
C3orf14	2
C3orf33	2
C5	2
C5orf22	2
C5orf63	2
C6orf203	2
C6orf223	2
C6orf47	2
C7orf25	2
C8orf34.AS1	2
C9orf152	2
C9orf64	2
CAAP1	2
CACFD1	2
CACNB1	2
CAMSAP3	2
CAPN1	2
CAPN8	2
CARNMT1	2
CASP6	2
CAT	2
CBR1	2
CCDC112	2
CCDC141	2
CCDC150	2
CCDC43	2
CCDC58	2
CCDC94	2
CCNB1	2
CCNB2	2
CCNF	2
CD180	2
CD300LF	2
CDC20	2
CDC25A	2
CDC25C	2
CDC45	2
CDC6	2
CDCA2	2
CDCA5	2
CDCA7L	2
CDCA8	2
CDH1	2
CDK1	2
CDK5	2
CDKL2	2
CDKN3	2
CDT1	2
CEBPA	2
CEBPA.AS1	2
CELF5	2
CENPBD1	2
CENPF	2
CENPH	2
CENPI	2
CENPM	2
CENPU	2
CEP55	2
CFTR	2
CHAC2	2
CHAF1A	2
CHAMP1	2
CHEK1	2
CHMP4C	2
CKAP2L	2
CKS2	2
CLDN23	2
CLDN7	2
CLN3	2
CLN6	2
CLP1	2
CLSPN	2
CNDP2	2
CNOT10	2
CNOT11	2
COA7	2
COG2	2
COPS3	2
COPZ1	2
COQ2	2
COQ9	2
COX5A	2
CPSF3	2
CPT2	2
CRB3	2
CRYM	2
CSF2	2
CSTF1	2
CTAGE5	2
CTB.11I22.1	2
CTC.526N19.1	2
CTC.573N18.1	2
CTD.2015H6.3	2
CYP1A1	2
EDC3	2
EDN3	2
FOXA3	2
GALNT3	2
GALNT7	2
GAR1	2
GATB	2
GBA	2
GCAT	2
GCC1	2
GCDH	2
GDPD1	2
GDPGP1	2
GEMIN7	2
GFPT1	2
GID8	2
GINS1	2
GINS2	2
GIPC1	2
GKN2	2
GLB1	2
GLE1	2
GLOD4	2
GLOD5	2
GNPDA1	2
GOLGA7B	2
GOLT1A	2
GOSR1	2
GOT1	2
GOT2	2
GPAM	2
GPATCH3	2
GPN1	2
GPR160	2
GPT2	2
