"Cell"	"OLR_estimate"	"StdError"	"z"	"pval"
"Capillary.Aerocyte"	"-0.00333188490370454"	"0.00845518740350032"	"-0.394063992280667"	"0.693533794533845"
"Capillary"	"-0.00330824566659036"	"0.00672653088004955"	"-0.491820483037162"	"0.622846255106632"
"Capillary.Intermediate.1"	"0.00514779133219684"	"0.00661915805099771"	"0.777710895031569"	"0.436739467805127"
"Capillary.Intermediate.2"	"0.0021415204116441"	NA	NA	NA
"IGSF21..Dendritic"	"0.0167381234571718"	"0.00653693297881055"	"2.56054689736431"	"0.0104507557245604"
"Myeloid.Dendritic.Type.1"	"0.00949549649345133"	"0.00672082211340828"	"1.41284746616154"	"0.157700578351985"
"Plasmacytoid.Dendritic"	"-0.00730588567504641"	"0.00693783122803727"	"-1.0530503603953"	"0.292317911703724"
"Myeloid.Dendritic.Type.2"	"-0.0374312419484827"	"0.0116646960339852"	"-3.20893419249216"	"0.00133227981454294"
"B"	"-0.00360807618929294"	"0.00681061313263631"	"-0.529772594482444"	"0.596269608595437"
"EREG..Dendritic"	"-0.00383129783896033"	"0.00780137922451879"	"-0.491105191620352"	"0.623352049781764"
"Macrophage"	"-0.00352448600048974"	"0.00658027535258023"	"-0.535613756513659"	"0.592225519329809"
"CD8..Naive.T"	"-0.0098178239982789"	"0.0083948233825346"	"-1.16950929768277"	"0.24219849743477"
"CD4..Naive.T"	"-0.00285904900082773"	"0.00699222709748096"	"-0.408889608556584"	"0.682620675258985"
"CD4..Memory.Effector.T"	"1.02006230466448e-05"	"0.00753454657753121"	"0.00135384696898206"	"0.998919786735747"
"Vein"	"0.0113683098882683"	"0.0075536553624813"	"1.50500775356184"	"0.132322083335802"
"Artery"	"0.0163129840028627"	"0.0068410800460135"	"2.38456265577082"	"0.0170994359218611"
"Pericyte"	"0.0131490576831798"	"0.0066051342852565"	"1.99073283226507"	"0.046510267149166"
"Vascular.Smooth.Muscle"	"-0.00112415735655677"	"0.0066484024976414"	"-0.169086838072089"	"0.86572833756152"
"Club"	"-0.0140639714692496"	"0.00691680056393717"	"-2.03330591062237"	"0.0420216264016864"
"Mucous"	"0.0108928654814966"	"0.00748234130286072"	"1.4558097580141"	"0.145445217500419"
"Alveolar.Epithelial.Type.2"	"-0.0194378530712814"	"0.00711281685398401"	"-2.73279257294442"	"0.00627998683458447"
"Basal"	"-0.0117028373737666"	"0.00993156965722856"	"-1.17834720770939"	"0.238658214910646"
"Lymphatic"	"0.0107901653679708"	"0.00726615592324923"	"1.48498951604464"	"0.137546601325418"
"Proliferating.Macrophage"	"0.00758832602622044"	"0.00827964621223356"	"0.916503656280427"	"0.359402790634747"
"CD8..Memory.Effector.T"	"0.0128936889450195"	"0.00682931716880334"	"1.8879909405758"	"0.0590271666713217"
"Proliferating.NK.T"	"-0.018913985144519"	"0.00831409417023139"	"-2.27493034806371"	"0.0229101084724061"
"Natural.Killer.T"	"-0.00435293372221146"	"0.00707532330513183"	"-0.615227535829242"	"0.538404465419892"
"Natural.Killer"	"0.0205515734710276"	"0.0068429912208513"	"3.00330262128714"	"0.00267066722310959"
"OLR1..Classical.Monocyte"	"-0.00624247035614476"	"0.00688985936042845"	"-0.906037413767553"	"0.364916049855929"
"Basophil.Mast.1"	"-0.00710223543007716"	"0.00665240130392398"	"-1.0676198120952"	"0.285692043011869"
