Mixture	Capillary Aerocyte	Capillary	Capillary Intermediate 1	Capillary Intermediate 2	IGSF21+ Dendritic	Myeloid Dendritic Type 1	Plasmacytoid Dendritic	Myeloid Dendritic Type 2	B	EREG+ Dendritic	Macrophage	CD8+ Naive T	CD4+ Naive T	CD4+ Memory/Effector T	Vein	Artery	Pericyte	Vascular Smooth Muscle	Club	Mucous	Alveolar Epithelial Type 2	Basal	Lymphatic	Proliferating Macrophage	CD8+ Memory/Effector T	Proliferating NK/T	Natural Killer T	Natural Killer	OLR1+ Classical Monocyte	Basophil/Mast 1	Classical Monocyte	Intermediate Monocyte	Nonclassical Monocyte	Airway Smooth Muscle	Ciliated	Alveolar Fibroblast	Myofibroblast	Adventitial Fibroblast	Alveolar Epithelial Type 1	Platelet/Megakaryocyte	TREM2+ Dendritic	Differentiating Basal	Proliferating Basal	Plasma	Bronchial Vessel 2	Bronchial Vessel 1	Lipofibroblast	Mesothelial	Basophil/Mast 2	Signaling Alveolar Epithelial Type 2	Proximal Basal	Neuroendocrine	Fibromyocyte	Ionocyte	Serous	Proximal Ciliated	Goblet	P-value	Correlation	RMSE
GTEX.111CU.0326.SM.5GZXO	0.01307894927983287	0.00000000000000000	0.00232236787929940	0.00674446455904343	0.01351383194449249	0.00837555271030448	0.00320168267612225	0.00000000000000000	0.00394902228769756	0.03195014629951213	0.11132006006183010	0.02540603528650459	0.00000000000000000	0.00000000000000000	0.06312882514906859	0.00000000000000000	0.01385950352040349	0.00000000000000000	0.02141637811558903	0.00000000000000000	0.03894217017754805	0.06238872175645486	0.00162664297536541	0.00000000000000000	0.11209733072481740	0.04008241896860089	0.00750451587680198	0.00000000000000000	0.05407354205725699	0.01499721754818137	0.06290001934538930	0.00709718214816643	0.01667040525870868	0.02605522646187982	0.00000000000000000	0.02366193555958223	0.00000000000000000	0.01145149469033623	0.01017306468922410	0.00155181165040357	0.04494336539120571	0.00000000000000000	0.02082889279964867	0.00056218314674255	0.05667202634814947	0.00000000000000000	0.01519171048180689	0.01177268238657620	0.00000000000000000	0.01343394178794315	0.00000000000000000	0.00064029017888611	0.00163301493229989	0.00010272074471191	0.00083653663562682	0.00580793639368882	0.01803417911429606	0.00000000000000000	0.90497290586386903	0.62440237700403933
GTEX.111FC.1126.SM.5GZWU	0.00000000000000000	0.00000000000000000	0.17587467695145398	0.00000000000000000	0.00655148517796833	0.01085050265691979	0.00699845342335304	0.00000000000000000	0.02674199495627376	0.03819608594721690	0.07409672005732841	0.00870291171465621	0.05419384208103726	0.07061694447540641	0.00022484643455954	0.01837084649343289	0.02666477111125260	0.01108268045948135	0.01818174804336555	0.01834507104853860	0.00000000000000000	0.00000000000000000	0.00475260256101136	0.00000000000000000	0.00000000000000000	0.03321607913893513	0.00885659041907024	0.01027219239206302	0.00220227155712487	0.01353349956796196	0.01483837132253808	0.00000000000000000	0.00841446988983819	0.00000000000000000	0.01752310577267258	0.09034693281231714	0.00000000000000000	0.00041725729000237	0.01639459302582623	0.00341877983940793	0.00715759888503559	0.10459790040736699	0.00000000000000000	0.00408424454868101	0.00000000000000000	0.04384015622065216	0.00000000000000000	0.00498529874347485	0.00231511091188383	0.00153923634330617	0.00000000000000000	0.00646259605962145	0.01903559846708442	0.00149554789558462	0.00055956599326132	0.01404681890303429	0.00000000000000000	0.00000000000000000	0.82296836566750375	0.79364596781980568
GTEX.111VG.0726.SM.5GIDC	0.00000000000000000	0.00000000000000000	0.05456111508618457	0.00951368344105218	0.00411404757844204	0.02492860675585363	0.00948535981192565	0.00000000000000000	0.01453424224485970	0.08803290618335215	0.06980834251162163	0.00000000000000000	0.00000000000000000	0.00594836613197440	0.01108734284561393	0.00000000000000000	0.01620828298847640	0.05890980728046166	0.00850736057480873	0.02848646305973343	0.00280212761889928	0.01628891367526026	0.01077006849886264	0.00000000000000000	0.06952725947803641	0.02613170304448604	0.00000000000000000	0.00000000000000000	0.00951518403768084	0.00000000000000000	0.02762584500021075	0.00000000000000000	0.00914517115874026	0.04610439102768791	0.04191426220025626	0.08455809039979495	0.00818543442578763	0.02459832670068850	0.00805328807438112	0.00150568068720293	0.00971481263919692	0.01935720354386247	0.01384638954970527	0.00656722391684524	0.01382061983539814	0.05788336518869268	0.00821952295903458	0.00710807336425868	0.02503754666691103	0.00000000000000000	0.00000000000000000	0.00371484577051621	0.01893850324586773	0.00000000000000000	0.00000000000000000	0.02494022079737539	0.00000000000000000	0.00000000000000000	0.87041365674249171	0.75091181017967723
GTEX.111YS.0626.SM.5GZXV	0.00848447816807174	0.02604501354220298	0.00000000000000000	0.00158543650757213	0.01310825622522944	0.00000000000000000	0.00316756372476446	0.00000000000000000	0.00624171355346089	0.06421727903034087	0.03305886600417399	0.05574254470383922	0.00024730033650685	0.01454223850796867	0.00471141173233736	0.00545059177842251	0.03752921807798233	0.00188985507012524	0.00113050167745097	0.01223931826520566	0.02095418974192783	0.00648311081583224	0.00000000000000000	0.00112251192581835	0.11763053340607650	0.00685978431478957	0.00000000000000000	0.01563858466596888	0.00000000000000000	0.00754161349746097	0.07872282320916818	0.02188027024331661	0.00051109019084811	0.01085972655455103	0.00610617063323036	0.07262653293464104	0.00000000000000000	0.00113794984835156	0.05007640296479032	0.00438832043540190	0.01145414144335956	0.00000000000000000	0.00000000000000000	0.00149540082292640	0.00000000000000000	0.02586488237985422	0.00159376499492243	0.00799832471406383	0.00555131343238780	0.12488159540472799	0.03606373965247926	0.00138489995104526	0.01646466474925263	0.00231475505557125	0.00656204693343611	0.00497863208513571	0.04146063609300846	0.00000000000000000	0.90927887213287129	0.53138138414124958
GTEX.1122O.0126.SM.5GICA	0.02942268458092647	0.00328281782075257	0.00000000000000000	0.00334211036903766	0.03510356307655371	0.00000000000000000	0.00598787491135329	0.00000000000000000	0.00698627747561167	0.00000000000000000	0.09106400306215651	0.04374697385285266	0.04956700185142798	0.08250556800756688	0.00000000000000000	0.02144848190241631	0.03268647436199804	0.00326355122537263	0.01387257841482242	0.00000000000000000	0.00000000000000000	0.00318362678841103	0.00174916437696408	0.00000000000000000	0.00247695538284707	0.02309874901142506	0.00000000000000000	0.01239167400257861	0.00466086987408554	0.00545552818209502	0.06389744769216518	0.02584024278623467	0.01815699017001412	0.03108029790507101	0.00000000000000000	0.04163103193804323	0.00500798029041375	0.00000000000000000	0.05328105687655762	0.00639053838734167	0.01055311641529121	0.00000000000000000	0.02031235992908016	0.00372201595594522	0.00000000000000000	0.04766345715212315	0.00000000000000000	0.00694187324276369	0.00130364201446024	0.10646519567025946	0.03280629452300703	0.00203122316740745	0.00987318295102868	0.00000000000000000	0.00850791033875060	0.01372009205024846	0.01551752201253836	0.00000000000000000	0.88148630624448043	0.60118701828427568
GTEX.1128S.0726.SM.5N9D6	0.00000000000000000	0.00000000000000000	0.26302107676813730	0.00000000000000000	0.01055643011248112	0.02672737985004777	0.00538758538979437	0.00000000000000000	0.01780754904822488	0.00000000000000000	0.04615472441020160	0.00000000000000000	0.00138311999535555	0.00000000000000000	0.03959879990326431	0.02095358890842934	0.02807381131250791	0.00000000000000000	0.00591611773361231	0.01428604270131822	0.00228982627133279	0.00534198114250010	0.00288372450173620	0.00000000000000000	0.07692594290246357	0.01734859999322278	0.01519413214308637	0.01551444519782699	0.04847249505817026	0.00000000000000000	0.09084545633048778	0.00818246183350840	0.00425308070300234	0.03622546708359446	0.03448214884087721	0.01968919257683799	0.01429944501086556	0.01716390561200848	0.00410132221618904	0.00271053286113441	0.00917953130694262	0.01347222900950548	0.00000000000000000	0.00371469542643667	0.00000000000000000	0.01626195837115267	0.00000000000000000	0.04750220887365155	0.00341474682129992	0.00000000000000000	0.00000000000000000	0.00159051281848086	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00468496212416320	0.00438876883614792	0.00000000000000000	0.89863249599927353	0.75483651957495246
GTEX.117YW.0526.SM.5H11C	0.00000000000000000	0.00000000000000000	0.06120298512527611	0.00772803814059846	0.00368410430302712	0.03929866957181278	0.00682048366390122	0.00000000000000000	0.02152757871976145	0.06816378430027381	0.08985252802394202	0.00000000000000000	0.00618130225019723	0.02959929058808660	0.00000000000000000	0.02574824430323590	0.02910142099460725	0.03178928487722185	0.01186792746161161	0.00073989550052748	0.00112427469353304	0.00028104520345084	0.03891729157963184	0.00000000000000000	0.02054610785821039	0.03855072454127974	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02506410677874485	0.01599257517631049	0.00000000000000000	0.01983048114236271	0.00562661838422493	0.00449305246827477	0.05837670962467099	0.08853297142669285	0.02917341117244956	0.00227257044643245	0.00078366660311120	0.04708822200420816	0.00467091205745774	0.01181326413948770	0.01054278322082968	0.00000000000000000	0.09965021221010810	0.02998702997081782	0.00929065040910241	0.00000000000000000	0.00039718345701731	0.00000000000000000	0.00163529394452407	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00174019788242330	0.00031310578056190	0.00000000000000000	0.88782811431019215	0.70541211539931459
GTEX.117YX.1326.SM.5H125	0.00198417990214462	0.02130519740795031	0.00222614823781095	0.01636623982520628	0.03038247609246871	0.00000000000000000	0.00553083869368500	0.00000000000000000	0.01987483174608162	0.02052820649868215	0.08375836682648105	0.03276405250641571	0.01985544756149521	0.05447194138999940	0.00000000000000000	0.02992219202587431	0.02760421222540616	0.01429100818218648	0.01309905830490088	0.00000000000000000	0.00000000000000000	0.00913012157098952	0.00000000000000000	0.00000000000000000	0.05781267385886577	0.01177279937669808	0.00000000000000000	0.01034371927830874	0.00044897678314979	0.00454757780761026	0.03054689880298844	0.01187806277714776	0.00786775501808902	0.00849247674542952	0.00185671025333159	0.04880426238734402	0.00000000000000000	0.00103713842218651	0.04819585369858508	0.00271576378743501	0.02825532425567046	0.00000000000000000	0.01889981036803673	0.00479917827509590	0.00000000000000000	0.04130335918177868	0.00155558933934542	0.00761573162749448	0.00599993839953566	0.17100952654495619	0.02036413777213301	0.00104608352008816	0.01394247634336954	0.00057226510620785	0.00824693769300481	0.00183766362023403	0.02513678995810148	0.00000000000000000	0.85973086127188392	0.53880337136927592
GTEX.11DXX.0626.SM.5Q5AG	0.02825591914387282	0.00000000000000000	0.03641547048422050	0.00000000000000000	0.04406405469382094	0.00000000000000000	0.00629062946455382	0.00000000000000000	0.00666732674001921	0.00979302415318156	0.07540640675558979	0.02490129264520746	0.00042462106144097	0.04530157702779187	0.01121472200696805	0.01419711161653485	0.01989657993187112	0.04589739948895909	0.03164683383787730	0.00000000000000000	0.04789072149500084	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02952522198934250	0.02739863588377512	0.00000000000000000	0.00449526973055581	0.00000000000000000	0.02415647879471233	0.03676718337597380	0.00650048236127507	0.01024285085833284	0.02873403682040517	0.00000000000000000	0.06095448497441810	0.00279259505738173	0.00000000000000000	0.04853046013115618	0.00286095809382825	0.03283168899812980	0.00000000000000000	0.02450036314672511	0.00971495153249093	0.00000000000000000	0.08040143887031047	0.00489930961046850	0.00496443174394372	0.00000000000000000	0.05540116114428559	0.02071106636428285	0.00055844501991973	0.01000606257629181	0.00246079577414244	0.00456894159483752	0.00667712541522152	0.01108186959088294	0.00000000000000000	0.94499489388742164	0.58008764488342024
GTEX.11DXZ.0726.SM.5N9C4	0.01891850274878204	0.00000000000000000	0.01731426937987297	0.00117913374438475	0.03819775475554515	0.00000000000000000	0.01760537983066120	0.00000000000000000	0.00248936138323476	0.02899931176567126	0.09562928056745962	0.00217686663653201	0.00691653331969514	0.02700475444233382	0.00000000000000000	0.02179618679517547	0.00960387855683397	0.04247744564679486	0.02173970360327360	0.00000000000000000	0.00000000000000000	0.01044151433649078	0.01270508853994444	0.00000000000000000	0.00310281752369063	0.06538165986264419	0.00000000000000000	0.00000000000000000	0.00304249996497416	0.00483406622563113	0.01303369064901736	0.00000000000000000	0.03703055920575131	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03202724177934785	0.01281528863866436	0.01260593575670947	0.00427945165070035	0.09008526395373710	0.00000000000000000	0.07513317865886011	0.00000611872668739	0.00000000000000000	0.03230227274964491	0.01504397390303691	0.01907305987153171	0.00000000000000000	0.15969424392917356	0.01398775631556748	0.00232886866688422	0.00000000000000000	0.00187600655049324	0.00000000000000000	0.00586488744980746	0.02125619191475910	0.00000000000000000	0.87765691738701024	0.51078117738647144
